电影名, 作者, 上映年份, 评分, 电影简介, 豆瓣详情, 电影海报
六号病房 Paviljon VI, 改编自契柯夫同名小说, 年份: 1978, 暂无评分, 根据契诃夫的同名短篇小说改编。获嘎纳电影节Catholic奖。                                                                    The story of a province hospital doctor in czarist Russia, who spends his days aimlessly, losing his will even for regular work. One day, in Department for mental diseases, the Pavillion VI, he meets his former student, rebellious, with restles spirit. Attracted with, by his own judgement, original ideas of his patient, the doctor spends great deal of his time with him and, letting himself to meditations, loses touch with reality. People around him laugh at him at start, and in the end, he finishes his life tragically in Pavillion VI. Screening of the synonymous Anton Chekhov's novel. This film won the Catholic Jury Prize at Cannes., https://movie.douban.com/subject/1760642/, https://img2.doubanio.com/view/photo/poster/public/p2529558602.jpg
双城记 A Tale of Two Cities, 改编自狄更斯同名小说, 年份: 1958, 8.2, 在经历了长达十八年的牢狱之灾后，含冤入狱的梅尼特医生（斯蒂芬·默里 Stephen Murray 饰）终于重新获得了自由，之后，在女儿露西（多洛特·图丁 Dorothy Tutin 饰）的陪伴下，梅尼特医生打算前往英国修养。在途中，父女两人遇见了名为达雷（保罗·盖尔 Paul Guers 饰）的英俊男子。达雷待露西和梅尼特医生十分周到，是个善良的小伙子，可是，他的舅舅却是当初陷害过梅尼特医生的邪恶侯爵。                                                                    顺利成章地，露西和达雷坠入了爱河，梅尼特医生决定忘记自己的恩怨情仇，宽容地接纳了两个年轻人之间的爱情。法国大革命爆发的消息传来，达雷毅然回国拯救落难的管家，之后遭到逮捕被判了死刑，这让露西悲痛欲绝。                        ©豆瓣, https://movie.douban.com/subject/2017186/, https://img9.doubanio.com/view/photo/poster/public/p2447386405.jpg
鲁宾逊漂流记 Robinson Crusoe, 改编自笛福同名小说, 年份: 1954, 7.4, 鲁滨逊（丹·奥赫里奇 Dan O'Herlihy 饰）在航海期间遭遇了海难，幸运的捡回了一条性命的他流落到了一座孤岛上，在这里，他似乎是唯一的现代人类。鲁滨逊没有向命运低头，而是凭借着智慧和勇气，在岛上慢慢的建立了属于自己的王国。                                                                    然而，除了恶劣的气候和匮乏的物资外，鲁滨逊要面对的最大威胁是潜伏在小岛身处的食人族部落。一次偶然中，鲁滨逊从食人族的手中救下了一个孩子，他给他取名为星期五（Jaime Fernández 饰）。就这样，星期五成为了鲁滨逊最好的朋友和最忠实的仆人。在岛上，鲁滨逊生活了二八年两个月零十九天，这一段难忘的时光彻底改变了他的命运。                        ©豆瓣, https://movie.douban.com/subject/1401596/, https://img9.doubanio.com/view/photo/poster/public/p2136305506.jpg
李尔王 King Lear, 改编自莎士比亚同名剧作, 年份: 1987, 7.2, （转自IMDB）                                                                    Everything returns to normal after Chernobyl. That is, everything but art. Most of the great works are lost, and it is up to people like William Shakespear Junior the Fifth to restore the lost artwork of the human race. He finds strange goings-on at a resort enough to remind him of all the lines of the play, dealing with mob boss Don Learo and his daughter Cordelia, a strange professor named Jean Luc-Godard (sic), who repeatedly xeroxes his hand for no particular reason. He is followed by four humanoid goblins that keep tormenting Cordelia. There is also the gentleman whose girlfriend, Valerie, isn't always visible. Then the film is sent off to New York for Mr. Alien to edit., https://movie.douban.com/subject/1790786/, https://img1.doubanio.com/view/photo/poster/public/p1896586598.jpg
蝴蝶梦 Rebecca, 改编自杜穆里埃同名小说, 年份: 1940, 8.3, 年轻女子（琼·芳登 Joan Fontaine 饰）初遇曼德利主人德文特（劳伦斯·奥利弗 Laurence Olivier 饰）是在海边的悬崖边上。她以为德文特要跳海自尽，大叫一声，让德文特生气不已。然而，接下来的二人相识继而相知的经历让他们堕入爱河，结为伉俪，女子成为了曼德利庄园的女主人。                                                                    幸福的生活眼看就要铺开，这个新婚妻子却遭遇到了阴森的“寒流”。她发现这个庄园到处可见德文特前妻丽贝卡的影子，她的名字，在家具留下痕迹，更令新婚妻子不安的是，管家丹佛斯太太，更是念念不忘丽贝卡，对这个新来的主人充满仇恨。就连丈夫德文特，也不愿意解释这一切，仿佛他的内心还有旧情。                                                                    丽贝卡犹如梦魇般弥漫在曼德利庄园，事情开始变得越来越复杂。                        ©豆瓣, https://movie.douban.com/subject/1293824/, https://img9.doubanio.com/view/photo/poster/public/p1071757804.jpg
小王子 The Little Prince, 改编自埃克苏佩里同名小说, 年份: 1974, 8.3, 根据安托万·德·圣埃克苏佩里的故事，这个神奇的音乐寓言从一名飞行员迫降在贫瘠的撒哈拉沙漠开始。他是来自行星小行星B-612的一位“小”王子的朋友。在接下来的日子里，飞行员了解了这个小男孩的历史和他遇见一位国王、一位商人、一位历史学家和一位将军的环球旅行。直到小王子来到地球，他才从狐狸、蛇和飞行员那里了解到生命的重要性。, https://movie.douban.com/subject/1294885/, https://img1.doubanio.com/view/photo/poster/public/p2432523358.jpg
贵族之家 Дворянское гнездо, 改编自屠格涅夫同名小说, 年份: 1970, 7.8, 贵族青年拉夫列茨基（列昂尼德·库拉金 Leonid Kulagin 饰）对少将之女瓦尔瓦拉（贝娅塔·蒂希基维茨 Beata Tyszkiewicz 饰）一见钟情，两人认识没多久就携手步入了婚姻的殿堂。哪知道瓦尔瓦拉生性风流，婚后迅速打入了巴黎的社交场中，成为了交际花，她的沾花惹草让拉夫列茨基感到非常的痛苦。                                                                    拉夫列茨基离开了家，回到了自己的祖国，在那里，他邂逅了名为莉莎（伊琳娜·库普彻柯 Irina Kupchenko 饰）的美丽少女，两人双双坠入情网之中。拉夫列茨基在报纸上看到了瓦尔瓦拉的讣告，于是，他决定和莉莎结婚。可是，就在两人的幸福生活刚刚开始之际，瓦尔瓦拉竟然出现在了他们的面前，原来讣告竟然是伪造的，一切都是瓦尔瓦拉为了引蛇出洞设下的圈套。                        ©豆瓣, https://movie.douban.com/subject/2157364/, https://img1.doubanio.com/view/photo/poster/public/p2404746349.jpg
罗亭 Рудин, 改编自屠格涅夫同名小说, 年份: 1976, 暂无评分, 作品描写主人公罗亭出身于破落的贵族之家，接受过大学教育，又曾到过国外游历，热爱自由，且能言善道，向往追求理想的生活、事业和爱情。但他却是“语言的巨人，行动的矮子”，虽追求尝试许多，但却屡屡失败，一事无成。他赢得了单纯善良的姑娘娜塔莉亚的芳心，却屈服于娜塔莉亚母亲的意志而放弃了幸福。至后来他曾创办多种事业，却都以失败而结束。之后，他一直过着贫困潦倒与漂泊的生活。, https://movie.douban.com/subject/4806744/, https://img3.doubanio.com/view/photo/poster/public/p2544323470.jpg
魔山 Der Zauberberg, 改编自托马斯曼同名小说, 年份: 1983, 暂无评分, Hans Castorp, fresh from university and about to become a civil engineer, comes to the Sanatorium Berghof in the Swiss Alps to visit his cousin Joachim, an army officer, who is recovering there from tuberculosis. Intending to remain at the Berghof for three weeks, Hans is gradually contaminated by the morbid atmosphere pervading the place. Wishing very much to be considered a patient like the others, he achieves his ends and stays in the sanatorium for ...seven years. During this time, he has enough time to take part in the furious philosophical debates pitting against each other Settembrini, a secular humanist, and Naphta, a totalitarian Jesuit. And to fall in love with the beautiful but enigmatic Clawdia Chauchat. When he is finally discharged in 1914 - along with all the other patients - it is only to plunge into the horrors of World War I., https://movie.douban.com/subject/2297169/, https://img9.doubanio.com/view/photo/poster/public/p2554326776.jpg
绝恋 Jude, 改编自哈代小说《无名的裘德》, 年份: 1996, 7.9, 裘德（克里斯托弗·埃克莱斯顿 Christopher Eccleston饰）在农村长大，一心要用知识改变命运，考取大学成为了他的奋斗目标。但是，年少的欲望却让他与当地一个姑娘发生了关系，大学梦也随之破碎。                                                                    不久姑娘远走澳洲，寻觅更美好的生活。剩下裘德和他的梦想，继续在这里萌芽成长。裘德为了能考上大学，专门搬到大学城附近苦苦寻求机会。同时在这里，表妹苏（凯特·温丝莱特 Kate Winslet饰）让他暗暗倾心。迫于亲缘的关系，二人都不敢打破禁忌。当苏嫁给了他人，裘德终于冲破了心中压抑已久的感情。他们不理世俗，不想后果，只要一起。即使流浪到天涯都无所畏惧。然而，不幸终究来临。他们的孩子为这一切付上了沉重的代价，裘德和苏的感情，亦迎来了寒冷的严冬。                        ©豆瓣, https://movie.douban.com/subject/1301718/, https://img1.doubanio.com/view/photo/poster/public/p2338916098.jpg
